ligand,receptor,sender_celltype,receiver_celltype,anchor_source_ligand,anchor_source_receptor,structure_map_source,sender_anchor,receiver_anchor,structure_bridge,sender_expr,receiver_expr,local_contact,contact_strength_raw,contact_strength_normalized,contact_coverage,cross_edge_count,prior_confidence,LR_score
TGFB1,TGFBR2,11q13 Invasive Tumor Cells,"CAFs, DCIS Associated",recompute,recompute,recompute,0.6618992459738668,0.7241065161359392,0.6198216015396206,0.9884381288839681,0.41704959801464375,0.0014052201086846628,0.00591841048404143,0.2678708024156444,0.0006341154090044388,1577,1.0,0.2358437045216613
CXCL12,CXCR4,Macrophages,T Lymphocytes,recompute,recompute,recompute,0.7487535481622718,0.9008184599638702,0.6198216015396206,0.03388623051970213,1.0,0.011808870968673746,0.03692546268049642,0.2979405212002501,0.007829977628635347,3576,1.0,0.23473571499447216
CXCL12,CXCR4,"CAFs, DCIS Associated","CAFs, DCIS Associated",recompute,recompute,recompute,0.8924110508951895,0.46000374398572297,1.0,1.0,0.0310998965832685,0.012662089253084086,0.005040395953126109,0.9511889336073863,0.00016855589734945852,94924,1.0,0.23339874751455328
DLL4,NOTCH3,Pericytes,Endothelial Cells,recompute,recompute,recompute,0.9184503888425789,0.8818326005152037,0.9465158905362521,0.11694486957515715,0.19937237225527835,0.008906111440489141,0.010339534043705996,0.38307172713811216,0.00036120642947444465,11074,1.0,0.2328006023656648
DLL4,NOTCH3,Pericytes,11q13 Invasive Tumor Cells,recompute,recompute,recompute,0.9184503888425789,0.6580560501976399,0.6198216015396206,0.11694486957515715,1.0,0.0033439007806524835,0.0063823614737452804,0.34697952362080664,0.0001450536698578474,6894,1.0,0.22959911089577834
TGFB1,TGFBR2,T Lymphocytes,Macrophages,recompute,recompute,recompute,0.7806633527749638,0.8911579433306727,0.6198216015396206,1.0,0.04575875759819427,0.007142495612878918,0.007919209532112755,0.7929095721756169,0.0011624527753560012,3441,1.0,0.22812262080770337
TGFB1,TGFBR2,Endothelial Cells,"CAFs, Invasive Associated",recompute,recompute,recompute,0.8649048900453102,0.628133940116149,0.6198216015396206,0.5918084951805068,0.07630971198036683,0.009232025458793586,0.01450360510260677,0.866801852239447,0.002329450915141431,3005,1.0,0.22797697121044255
CSF1,CSF1R,Mast Cells,Dendritic Cells,recompute,recompute,recompute,0.8552373118926793,0.7744570596502125,0.6198216015396206,0.1878690989799276,0.6590560508382464,0.0027518409381323697,0.12962962962962962,1.0,0.06172839506172839,162,1.0,0.2278376843243531
TGFB1,TGFBR2,Basal-like Structured DCIS Cells,Endothelial Cells,recompute,recompute,recompute,0.7806633527749638,0.9516417160285665,0.6198216015396206,0.14371478860647843,1.0,0.0019207371750139034,0.014627659574468085,0.233224349178183,0.001182033096926714,1692,1.0,0.22423115183883124
CSF1,CSF1R,Dendritic Cells,Macrophages,recompute,recompute,recompute,0.6329636802303048,0.9569566492419601,0.6198216015396206,0.13793660188765483,1.0,0.002450517224528348,0.015615431720759338,0.07866792487365395,0.00612369871402327,1633,1.0,0.22417102553263688
TGFB1,TGFBR2,Dendritic Cells,"CAFs, Invasive Associated",recompute,recompute,recompute,0.7806633527749638,0.628133940116149,0.7917001487310438,0.7613650405309432,0.07630971198036683,0.005518245286530801,0.015402006499929349,0.9204944334800762,0.001271725307333616,2359,1.0,0.22344736226941964
