group,radius_um,coh_median,coh_q25,coh_q75,coh_n_cells,neigh_median,neigh_q25,neigh_q75,neigh_n_cells,ANE_median,ANE_q25,ANE_q75,ANE_density_median,ANE_density_q25,ANE_density_q75
Myoepithelial Cells,25.0,0.8321829722577361,0.5457623743566856,0.9715540494873742,1108,1.0,0.0,1.0,2120,0.9765585479506296,0.7263980307170881,1.3054928110584187,0.0004973571843999565,0.00036995147917069757,0.0006648820289628196
Myoepithelial Cells,50.0,0.6823560051499502,0.4683335195678914,0.9057339149422533,1730,2.0,1.0,3.0,2120,1.5412760021998175,0.9285961137959785,2.5533357411314626,0.00019624135553521273,0.0001182325293172433,0.0003251008036594242
Myoepithelial Cells,100.0,0.5864025901548132,0.4481562944363221,0.7383288060488895,1950,6.0,3.0,10.0,2120,3.662350454564831,1.9044762035783958,6.034196164756565,0.00011657623563576854,6.062136036007769e-05,0.00019207442944143286
Myoepithelial Cells,200.0,0.5339555371759135,0.4567625294890778,0.6248960179783054,2081,17.0,9.0,31.0,2120,9.488387023818333,4.819032848800707,15.75927555097434,7.550618484048425e-05,3.834864494044254e-05,0.00012540833017424092
Macrophages,25.0,0.9389546595375406,0.797304980373974,0.9949615696781284,145,0.0,0.0,0.0,989,0.9550031234718233,0.797304980373974,0.9970165845250956,0.00048637909685996905,0.0004060640920905746,0.0005077763768696559
Macrophages,50.0,0.914159080967277,0.6601912734375881,0.9814424047612845,298,0.0,0.0,1.0,989,0.9676381711442151,0.7426660213976406,0.9997708707222849,0.0001232035184496026,9.455917469746065e-05,0.00012729478082779193
Macrophages,100.0,0.8073431637106143,0.5463481827443757,0.9456745478371815,606,1.0,0.0,2.0,989,0.9955936677236528,0.7077819805813211,1.8628767732864844,3.1690730705841866e-05,2.2529400168177827e-05,5.929720936792481e-05
Macrophages,200.0,0.6813590747858578,0.48488736256666287,0.8454670245723264,896,3.0,2.0,5.0,989,2.021754813988454,0.9895530617560523,3.8980222288329243,1.6088613618304896e-05,7.874613061509764e-06,3.1019475300042355e-05
Apocrine Cells,25.0,0.8954342253443457,0.7643190035001364,0.9602367172029578,9,0.0,0.0,1.0,23,1.5198034288367213,0.9602367172029578,1.7260986022691243,0.0007740295303276024,0.0004890445442597925,0.0008790947994084562
Apocrine Cells,50.0,0.7489177431164515,0.5859908674473944,0.8792417632394539,11,0.0,0.0,2.0,23,1.5286380070002727,0.9602367172029578,1.8237375751331995,0.00019463223600978938,0.00012226113606494813,0.00023220547998790045
Apocrine Cells,100.0,0.5227651656427886,0.45268159899219873,0.6715679397360619,13,2.0,0.0,4.0,23,1.9394595558281655,1.3355023147267637,2.5318202596411274,6.173491504737286e-05,4.251035897988652e-05,8.059034186841826e-05
Apocrine Cells,200.0,0.5178156687785652,0.45268159899219873,0.6866043035097056,13,4.0,0.0,7.0,23,3.3140895691821104,1.9394595558281655,4.806230124567939,2.6372686839231134e-05,1.5433728761843216e-05,3.824676409810817e-05
Dendritic Cells,25.0,0.8516976336442307,0.5620205994365031,0.9626785872427384,231,0.0,0.0,0.0,983,0.9339054374533111,0.7217290889071784,0.9993800502893314,0.0004756341336034987,0.0003675736066329198,0.0005089800800991169
Dendritic Cells,50.0,0.8255418573235607,0.506185302699829,0.9356292715049457,468,0.0,0.0,1.0,983,0.9807782989662058,0.7482522213827674,1.8787465415168294,0.00012487657148618593,9.527043177004688e-05,0.00023920943911936494
Dendritic Cells,100.0,0.7178816301406843,0.5055072829972833,0.8875849497067853,750,2.0,1.0,4.0,983,1.684184212465903,0.9145059992745703,3.002311148328144,5.3609248498255875e-05,2.9109630054348224e-05,9.556653199126576e-05
Dendritic Cells,200.0,0.6084497782179732,0.45180786435764714,0.7382269947956106,907,6.0,2.0,11.0,983,3.403142548503055,1.5601750569153339,6.583920100547226,2.708134793203057e-05,1.2415478619837728e-05,5.239317144620898e-05
Basal-like Structured DCIS Cells,25.0,0.8959025475817248,0.6923064510091562,0.9679306890305983,1285,1.0,0.0,1.0,2569,0.9878291180944749,0.8531322567159323,1.8311357339221443,0.0005030972386394987,0.0004344966904559502,0.0009325897712829277
Basal-like Structured DCIS Cells,50.0,0.795965797714234,0.566244591176747,0.9195175202352276,1978,2.0,1.0,3.0,2569,1.6204012529820744,0.9240639040500995,2.8985853969736803,0.00020631589536351835,0.00011765547044989457,0.00036905935512187595
Basal-like Structured DCIS Cells,100.0,0.649377982983169,0.47225353856330665,0.8029620230154062,2414,5.0,2.0,10.0,2569,3.0134086280334986,1.6806114702255368,6.307979302036662,9.591977574145958e-05,5.349552458066637e-05,0.00020078921736809972
Basal-like Structured DCIS Cells,200.0,0.5577748432592189,0.4571658433332899,0.6598664896065424,2549,16.0,9.0,27.0,2569,8.312860176939488,4.562106057795276,15.664901620448386,6.615163941958436e-05,3.630408650037991e-05,0.0001246573262971301
T Lymphocytes,25.0,0.925975468424179,0.7508955468975571,0.9805220152081786,134,0.0,0.0,0.0,553,0.9847093962102976,0.8384144823829307,1.0609313937051081,0.0005015083773308945,0.0004270009895394439,0.0005403279218865334
T Lymphocytes,50.0,0.9156078768604317,0.7100067154671664,0.9738143460933972,236,0.0,0.0,1.0,553,1.0447161428900935,0.9526875818566445,2.176258207491972,0.00013301739061508577,0.00012129995029979971,0.0002770898009333239
T Lymphocytes,100.0,0.8353756260110525,0.637231385888187,0.9357218074622715,358,1.0,0.0,4.0,553,2.3294651087381872,0.973803348396792,4.407485479898589,7.414917736315641e-05,3.099712329935771e-05,0.00014029462014632297
