group,radius_um,coh_median,coh_q25,coh_q75,coh_n_cells,neigh_median,neigh_q25,neigh_q75,neigh_n_cells,ANE_median,ANE_q25,ANE_q75,ANE_density_median,ANE_density_q25,ANE_density_q75
"CAFs, Invasive Associated",100.0,0.7734397638533255,0.5791781656714353,0.8870411948948839,2390,6.0,3.0,9.0,2493,4.269868860247636,2.25677552032244,6.797472554533023,0.0001359141470925137,7.183539590162009e-05,0.00021637027151708474
"CAFs, Invasive Associated",200.0,0.6264486825593342,0.496470557015248,0.746244471081923,2469,17.0,10.0,26.0,2493,9.840663702263738,6.124223720420066,15.850014703275374,7.830951357601327e-05,4.873502388527456e-05,0.00012613040940527483
Mast Cells,25.0,,,,0,0.0,0.0,0.0,33,,,,,,
Mast Cells,50.0,,,,0,0.0,0.0,0.0,33,,,,,,
Mast Cells,100.0,0.7512250449179623,0.5588446731140254,0.943605416721899,4,0.0,0.0,0.0,33,0.7512250449179623,0.5588446731140254,0.943605416721899,2.3912235854624958e-05,1.7788578429334314e-05,3.0035893279915606e-05
Mast Cells,200.0,0.8515200730054715,0.5588446731140254,0.943605416721899,10,0.0,0.0,1.0,33,0.8515200730054715,0.5588446731140254,0.943605416721899,6.776181438039619e-06,4.447144607333578e-06,7.5089733199789015e-06
Unassigned,25.0,,,,0,0.0,0.0,0.0,3,,,,,,
Unassigned,50.0,,,,0,0.0,0.0,0.0,3,,,,,,
Unassigned,100.0,,,,0,0.0,0.0,0.0,3,,,,,,
Unassigned,200.0,,,,0,0.0,0.0,0.0,3,,,,,,
